Key_id;Country;casualties_total;casualties_military;Population_1939;casualties_percentage;continent;casualties_100000
1;Albania;30.200;30.000;1.073.000;0,028145;Europe;2815
2;Australia;40.500;39.800;6.968.000;0,005812;Oceanien;581
3;Austria;384.700;261.000;6.653.000;0,057824;Europe;5782
4;Belgium;86.100;12.100;8.387.000;0,010266;Europe;1027
5;Brazil;2.000;1.000;40.289.000;0,00005;South_America;5
6;Bulgaria;25.000;22.000;6.458.000;0,003871;Europe;387
7;Burma;1.000.000;2.600;16.119.000;0,062039;Asia;6204
8;Canada;45.400;45.400;11.267.000;0,004029;North_America;403
9;China;20.000.000;4.000.000;517.568.000;0,038642;Asia;3864
10;Cuba;100;NA;4.235.000;0,000024;South_America;2
11;Czechoslovakia;345.000;25.000;14.612.000;0,023611;Europe;2361
12;Denmark;3.200;2.100;3.795.000;0,000843;Europe;84
13;Dutch_East_Indies;4.000.000;NA;69.435.000;0,057608;Asia;5761
14;Egypt;1.100;1.100;16.492.000;0,000067;Africa;7
15;Estonia;51.000;NA;1.134.000;0,044974;Europe;4497
16;Ethiopia;100.000;5.000;17.700.000;0,00565;Africa;565
17;Finland;97.000;95.000;3.700.000;0,026216;Europe;2622
18;France;567.600;217.600;41.680.000;0,013618;Europe;1362
19;French_Indochina;1.500.000;NA;24.664.000;0,060817;Asia;6082
20;Germany;8.800.000;5.533.000;69.300.000;0,126984;Europe;12698
21;Greece;800.000;35.000;7.222.000;0,110773;Europe;11077
22;Guam;2.000;2.000;22.800;0,087719;Oceanien;8772
23;Hungary;580.000;300.000;9.129.000;0,063534;Europe;6353
24;Iceland;200;NA;118.900;0,001682;Europe;168
25;India;2.500.000;87.000;377.800.000;0,006617;Asia;662
26;Iraq;700;500;3.698.000;0,000189;Asia;19
27;Ireland;5.100;5.000;2.960.000;0,001723;Europe;172
28;Italy;457.000;301.400;44.394.000;0,010294;Europe;1029
29;Japan;3.100.000;2.120.000;71.380.000;0,04343;Asia;4343
30;Korea;473.000;NA;24.326.000;0,019444;Asia;1944
31;Latvia;227.000;NA;1.994.500;0,113813;Europe;11381
32;Lithuania;353.000;NA;2.575.000;0,137087;Europe;13709
33;Luxembourg;2.000;NA;290.000;0,006897;Europe;690
34;Malaya;100.000;NA;5.118.000;0,019539;Asia;1954
35;Malta;1.500;NA;269.000;0,005576;Europe;558
36;Mexico;100;NA;19.320.000;0,000005;South_America;1
37;Mongolia;300;300;819.000;0,000366;Asia;37
38;Nauru;500;NA;3.400;0,147059;Oceanien;14706
39;Nepal;NA;NA;6.087.000;;Asia;
40;Netherlands;301.000;17.000;8.729.000;0,034483;Europe;3448
41;Newfoundland;1.200;1.100;320.000;0,00375;North_America;375
42;New_Zealand;11.900;11.900;1.629.000;0,007305;Oceanien;731
43;Norway;9.500;3.000;2.945.000;0,003226;Europe;323
44;Papua_New_Guinea;15.000;NA;1.292.000;0,01161;Oceanien;1161
45;Phillippines;1.000.000;57.000;16.000.303;0,062499;Asia;6250
46;Poland;5.600.000;240.000;34.849.000;0,160693;Europe;16069
47;Portuguese;70.000;NA;480.000;0,145833;Europe;14583
48;Romania;833.000;300.000;15.970.000;0,05216;Europe;5216
49;Ruanda_Urundi;50.000;NA;3.800.000;0,013158;Africa;1316
50;Singapore;50.000;NA;NA;;Asia;
51;South_Africa;11.900;11900;10.160.000;0,001171;Africa;117
52;South_Seas_Mandate;10.000;NA;127.000;0,07874;Asia;7874
53;Soviet_Union;24.000.000;10.700.000;188.793.000;0,127123;Asia;12712
54;Spain ;NA;NA;25.637.000;;Europe;
55;Sweden;2.100;100;6.341.000;0,000331;Europe;33
56;Switzerland;100;NA;4.210.000;0,000024;Europe;2
57;Thailand;7.600;5.600;15.023.000;0,000506;Asia;51
58;Turkey;200;200;17.370.000;0,000012;Asia;1
59;United_Kingdom;450.700;383.600;47.760.000;0,009437;Europe;944
60;United_States;418.500;416.800;131.028.000;0,003194;North_America;319
61;Yugoslavia;1.000.000;446.000;15.490.000;0,064558;Europe;6456
